city_or_county,n_killed,n_injured
Bay Minette,3,6
Bay Point,2,6
Bay Saint Louis,6,8
Bay Saint Louis (Bay St Louis),0,0
Bay Shore,4,7
Bay Shore (Bayshore),2,0
Bay Shore (North Bay Shore),1,4
Bay Springs,1,1
Bay St. Louis,0,1
Bay View Gardens,2,0
Bay Village,0,4
Bayard,0,2
Bayboro,1,3
Bayfield,1,0
Bayonne,0,13
Bayou Blue,0,0
Bayou Chene,0,0
Bayou La Batre,0,0
Bayou Vista,0,1
Bayport,0,0
Bayshore,0,0
Bayside,1,2
Baytown,23,31
Baytown (Beach City),2,0
Bayview,0,1
Bayville,0,0
Baywood,0,1
Beach,1,0
Beach Park,0,1
Beachwood,0,2
Beachwood (Highland Hills),0,1
Beachwood (Warrensville Heights),5,3
Beacon,2,5
Beacon Hill,0,1
Bealeton,0,0
Beaman,0,0
Bean Station,2,3
Bear,6,13
Bear Creek,1,1
Bear Creek Township,1,0
Beatrice,0,2
Beattyville,7,1
Beaufort,16,60
Beaufort (Ladys Island),2,2
Beaufort County,2,0
Beaumont,57,61
Beaumont (Cherry Valley),2,1
Beauregard,0,0
Beaver,5,2
Beaver (Glen Morgan),0,1
Beaver Dam,2,4
Beaver Dams,0,0
Beaver Falls,1,13
Beavercreek,5,1
Beaverdam,1,1
Beaverhead,1,1
Beaverhead County,0,1
Beaverton,11,10
Beaverton (Aloha),3,2
Beavertown,0,1
Bechtelsville,0,1
Becker,0,1
Becker County,1,0
Beckham,0,1
Beckham County,1,0
Beckley,9,37
Beckley (Sprague),1,0
Beckville,1,0
Bedford,18,13
Bedford (Bedford Heights),0,0
Bedford (Fayetteville),1,0
Bedford County,3,1
Bedford Heights,2,0
Bedford Park,1,2
Bedias,1,1
Bee County,1,0
Beebe,3,1
Beebe Plain,0,0
Beech Bluff,0,0
Beech Creek,0,1
Beech Grove,8,2
Beech Island,5,6
Beech Mountain,1,0
Beecher,0,1
Beekman,1,0
Beeville,4,1
Beggs,1,0
Beggs (Winchester),1,0
Bel Air,4,3
Bel Ridge,0,1
Belchertown,0,0
Belcourt,2,0
Belding,1,0
Belen,3,1
Belen (Rio Communities),3,0
Belfair,9,0
Belfast,0,1
Belfast (Waldo),0,0
Belfield,0,1
Belfry,3,0
Belgrade,4,2
Belhaven,1,1
Belington,0,2
Bell,15,3
Bell Buckle,1,0
Bell County,1,0
Bell Gardens,4,2
Bell Gardens (Cudahy),2,1
Bella Villa,0,1
Bella Vista,4,1
Bellaire,5,5
Bellbrook,0,1
Bellbrook (Beavercreek Township),1,0
Belle,1,1
Belle (Quincy),0,1
Belle Chasse,0,0
Belle Fourche,0,0
Belle Glade,16,48
Belle Isle,2,0
Belle Rive,0,1
Belle Rose,1,2
Belle Vernon,1,0
Belle Vernon (Rostraver),0,1
Bellefontaine,0,1
Bellefonte,1,1
Bellefonte (Pleasant Gap),1,0
Belleview,6,4
Belleville,17,24
Belleville (Shiloh),0,0
Belleville (Sumpter Twp),0,0
Belleville (Swansea),2,1
Belleville (Van Buren Twp),1,1
Bellevue,5,5
Bellflower,14,14
Bellingham,10,8
Bellmead,1,1
Bellmont,0,2
Bellmore,0,1
Bellmore (North Bellmore),0,0
Bellows Falls,0,0
Bellows Falls (Rockingham),0,1
Bellport,2,4
Bellport (North Bellport),1,5
Belltown,1,2
Bellville,1,0
Bellvue,1,1
Bellwood,4,7
Belmont,4,11
Belmont County,1,0
Beloit,16,40
Belton,17,12
Belton (Morgans Point Resort),1,0
Beltrami,0,0
Beltrami County,0,0
Beltzhoover,1,1
Belvidere,1,2
Bemidji,3,7
Bemidji (Ten Lake),0,0
Ben Bolt,2,0
Ben Lomond,1,1
Ben Wheeler,1,1
Benbrook,2,0
Bend,5,7
Bend (Sunriver),2,2
Benewah County,2,0
Benham,0,1
Benicia,0,4
Bennett,1,2
Bennettsville,7,28
Bennington,1,2
Bennington (Woodford),0,0
Bensalem,6,4
Bensenville,1,0
Benson,4,3
Bent Mountain,0,3
Bentley (Prospect),0,0
Bentleyville,2,1
Benton,14,25
Benton (Haywood City),0,0
Benton (West City),2,0
Benton City,1,1
Benton County,1,2
Benton Harbor,19,27
Bentonville,1,2
Berea,1,3
Beresford,1,0
Bergen,0,1
Bergenfield,2,0
Berger,0,1
Berkeley,11,44
Berkeley County,2,2
Berkley,0,0
Berks,1,1
Berkshire,0,0
Berlin,9,5
Berlin Heights,0,1
Bermuda Dunes,2,1
Bernalillo,1,4
Bernalillo County,1,2
Bernardston,1,0
